Tm,Total,Home,Away,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17,Week 18
Las Vegas Raiders,1122807,497403.0,625404.0,70240,70762,62417.0,62401,72825.0,62553.0,73267.0,62533,65962.0,,65440.0,62460.0,73627,63250.0,62364,61323,70031,61352.0
Los Angeles Chargers,1170832,559732.0,611100.0,70240,70145,66734.0,70240,,70743.0,64357.0,70240,67431.0,68796.0,70240.0,70240.0,72139,73571.0,69496,70240,64628,61352.0
Los Angeles Rams,1124537,584264.0,540273.0,66530,63331,,59074,72842.0,,73267.0,72127,68632.0,72474.0,64628.0,74400.0,70006,73493.0,71201,76871,73051,72610.0
Miami Dolphins,1153651,525150.0,628501.0,65582,65601,68658.0,65291,64628.0,,66299.0,65629,70862.0,72474.0,65440.0,65479.0,77599,65787.0,71221,66341,67942,68818.0
Minnesota Vikings,1153509,596577.0,556932.0,81908,66741,66843.0,78335,61139.0,,66971.0,72127,66954.0,65695.0,67686.0,57659.0,66873,67008.0,67017,68748,67031,64774.0
New England Patriots,1147581,517078.0,630503.0,66214,64686,80812.0,71042,64628.0,64628.0,86651.0,64628,66533.0,58912.0,64628.0,65479.0,64626,,64135,70725,64628,64626.0
New Orleans Saints,1227161,630113.0,597048.0,70007,93691,70006.0,72204,73592.0,70041.0,70008.0,70240,70292.0,70005.0,70006.0,,70006,76143.0,70003,77885,70031,63001.0
New York Giants,1273642,706231.0,567411.0,81908,61841,68016.0,80425,68306.0,78809.0,82779.0,66637,77994.0,70132.0,,77554.0,92196,76143.0,77455,70404,73164,69879.0
New York Jets,1224693,631346.0,593347.0,71319,65509,80812.0,82243,61139.0,81118.0,66956.0,64628,79818.0,64030.0,80582.0,,81084,65787.0,63251,76871,70728,68818.0
Philadelphia Eagles,1194031,606268.0,587763.0,47236,69879,70006.0,64223,,69879.0,82779.0,67239,69879.0,93644.0,69879.0,74400.0,71344,69879.0,69879,64128,69879,69879.0
Pittsburgh Steelers,1151407,535045.0,616362.0,72291,74215,66734.0,66376,67380.0,62553.0,66956.0,66637,,66192.0,67551.0,67431.0,66112,66845.0,69879,71313,67311,65631.0
San Francisco 49ers,1122075,642803.0,479272.0,71319,66741,,71042,71310.0,68768.0,71309.0,71521,,64914.0,71751.0,78222.0,70437,71662.0,71201,66341,71688,63849.0
Seattle Seahawks,1166304,617945.0,548359.0,68714,64686,68658.0,66658,68306.0,68768.0,70691.0,68704,68632.0,,71751.0,68649.0,81084,64533.0,68766,68748,56346,72610.0
Tampa Bay Buccaneers,1160353,573195.0,587158.0,63020,64160,62738.0,64223,70016.0,70041.0,64828.0,62787,73574.0,64914.0,,77554.0,69214,63250.0,69496,93103,64434,63001.0
Tennessee Titans,1108720,518556.0,590164.0,59403,65509,67322.0,65291,,64302.0,70842.0,64316,66533.0,68796.0,67686.0,71055.0,63144,61644.0,63745,65322,61995,61815.0
Washington Commanders,1143908,570854.0,573054.0,63020,61841,66207.0,63286,59030.0,71316.0,63380.0,64704,77994.0,66192.0,69879.0,64955.0,63144,,70003,64128,63480,91349.0
